citeseer_graphsage_xgb,0.1351,0.2838,0.4155,0.5338,0.625,0.6892,0.7196,0.7601,0.7736,0.7939,0.8277,0.8378,0.8514,0.875,0.8885,0.902,0.9324,0.9527,0.973,1.0
citeseer_graphsage_lgb,0.1149,0.2635,0.4189,0.5338,0.625,0.7027,0.7601,0.777,0.8041,0.8176,0.8277,0.8311,0.8412,0.8547,0.8885,0.8953,0.9155,0.9358,0.9561,1.0
citeseer_graphsage_rf,0.1588,0.3007,0.4426,0.527,0.6149,0.7095,0.7669,0.777,0.7973,0.8209,0.8412,0.8615,0.8784,0.8986,0.9088,0.9324,0.9493,0.9628,0.9865,1.0
citeseer_graphsage_lr,0.125,0.277,0.4223,0.5304,0.6149,0.6926,0.7128,0.7365,0.7534,0.7736,0.7905,0.8074,0.8345,0.8615,0.8784,0.9223,0.9493,0.973,0.9899,1.0
citeseer_graphsage_mutation,0.1554,0.3108,0.4358,0.5405,0.625,0.6858,0.7601,0.8041,0.8311,0.8581,0.8649,0.8818,0.8919,0.9392,0.9493,0.9662,0.9831,0.9865,0.9932,1.0
citeseer_graphsage_fusion,0.1453,0.3007,0.4426,0.5338,0.6182,0.7128,0.7635,0.777,0.7905,0.8074,0.8277,0.8412,0.8547,0.8784,0.9054,0.9358,0.9595,0.9831,0.9899,1.0
citeseer_graphsage_margin,0.1216,0.2331,0.3074,0.4088,0.4865,0.5507,0.6149,0.6791,0.7264,0.7568,0.8074,0.848,0.8716,0.902,0.9223,0.9459,0.9628,0.9831,0.9899,1.0
citeseer_graphsage_deepGini,0.1115,0.1791,0.2601,0.3345,0.3885,0.4493,0.5135,0.5709,0.6318,0.6588,0.6926,0.7297,0.7838,0.8108,0.8311,0.8851,0.9291,0.9595,0.9899,1.0
citeseer_graphsage_leastConfidence,0.1047,0.2027,0.3074,0.3919,0.4797,0.5203,0.5642,0.6318,0.6757,0.7365,0.7939,0.8311,0.8818,0.8986,0.9122,0.9223,0.9493,0.9831,0.9932,1.0
citeseer_graphsage_random,0.0405,0.098,0.1453,0.1993,0.2534,0.3041,0.3378,0.3986,0.4324,0.4764,0.5304,0.5845,0.6284,0.6926,0.75,0.7939,0.8311,0.875,0.9493,1.0
citeseer_graphsage_fusion_weight,0.1453,0.3007,0.4426,0.5338,0.6182,0.7128,0.7635,0.777,0.7905,0.8074,0.8277,0.8412,0.8547,0.8784,0.9054,0.9358,0.9595,0.9831,0.9899,1.0
citeseer_graphsage_fusion_stacking,0.1351,0.2534,0.3919,0.5338,0.6216,0.6554,0.6689,0.7061,0.7264,0.7432,0.7703,0.7939,0.8345,0.8446,0.8649,0.902,0.9291,0.9527,0.9831,1.0
citeseer_graphsage_fusion_voting,0.1351,0.2568,0.3851,0.5338,0.6182,0.6453,0.6554,0.6892,0.7128,0.7297,0.7635,0.8007,0.8277,0.848,0.8818,0.9088,0.9324,0.9628,0.9831,1.0
