cora_gat_dice_xgb,0.1652,0.3348,0.5045,0.6384,0.7679,0.8259,0.8884,0.9196,0.9196,0.942,0.942,0.9464,0.9509,0.9598,0.9688,0.9688,0.9777,0.9866,0.9955,1.0
cora_gat_dice_lgb,0.1741,0.3438,0.4911,0.6339,0.7545,0.8259,0.9062,0.9196,0.933,0.9554,0.9643,0.9732,0.9777,0.9777,0.9866,0.9911,0.9955,0.9955,1.0,1.0
cora_gat_dice_rf,0.1652,0.3393,0.5045,0.6339,0.7545,0.8214,0.8929,0.9241,0.942,0.9509,0.9554,0.9643,0.9643,0.9732,0.9732,0.9777,0.9821,0.9911,0.9911,1.0
cora_gat_dice_lr,0.1696,0.3214,0.4866,0.6384,0.75,0.8393,0.8839,0.8973,0.9018,0.9018,0.9107,0.9241,0.942,0.9643,0.9732,0.9777,0.9821,0.9911,1.0,1.0
cora_gat_dice_mutation,0.1741,0.3438,0.5045,0.6473,0.7455,0.8214,0.8705,0.9196,0.9286,0.942,0.942,0.9509,0.9643,0.9732,0.9777,0.9821,0.9911,0.9955,1.0,1.0
cora_gat_dice_fusion,0.1696,0.3438,0.5045,0.6384,0.7545,0.8214,0.8973,0.9196,0.942,0.9554,0.9643,0.9643,0.9643,0.9732,0.9732,0.9777,0.9821,0.9911,1.0,1.0
cora_gat_dice_margin,0.1161,0.2188,0.3259,0.4196,0.4821,0.5804,0.6562,0.7321,0.7857,0.817,0.8616,0.8929,0.9107,0.9286,0.9509,0.9688,0.9821,0.9955,1.0,1.0
cora_gat_dice_deepGini,0.1205,0.2188,0.3214,0.4018,0.5045,0.5982,0.6696,0.7277,0.7857,0.8259,0.8705,0.8884,0.9107,0.942,0.9688,0.9821,0.9911,0.9955,1.0,1.0
cora_gat_dice_leastConfidence,0.125,0.2277,0.3482,0.4554,0.5312,0.6071,0.6786,0.7455,0.808,0.8482,0.8795,0.9152,0.933,0.942,0.9732,0.9911,0.9911,0.9955,1.0,1.0
cora_gat_dice_random,0.0491,0.0982,0.1741,0.2277,0.2768,0.317,0.3661,0.4152,0.4643,0.5179,0.5491,0.5982,0.6295,0.6741,0.7232,0.7768,0.8348,0.8884,0.9375,1.0
cora_gat_dice_fusion_weight,0.1696,0.3438,0.5045,0.6384,0.7545,0.8214,0.8973,0.9196,0.942,0.9554,0.9643,0.9643,0.9643,0.9732,0.9732,0.9777,0.9821,0.9911,1.0,1.0
cora_gat_dice_fusion_stacking,0.1518,0.2946,0.442,0.5938,0.7455,0.8304,0.8661,0.8795,0.8884,0.8929,0.9062,0.933,0.942,0.9598,0.9688,0.9732,0.9821,0.9866,0.9911,1.0
cora_gat_dice_fusion_voting,0.1562,0.3036,0.4509,0.5982,0.75,0.8304,0.8527,0.8571,0.8705,0.8839,0.8929,0.9196,0.933,0.9464,0.9688,0.9777,0.9821,0.9866,0.9911,1.0
