cora_gcn_xgb,0.1613,0.3318,0.4931,0.6544,0.7834,0.8479,0.8756,0.8848,0.8848,0.9032,0.9263,0.9355,0.9401,0.9631,0.9816,0.9862,0.9954,0.9954,1.0,1.0
cora_gcn_lgb,0.1889,0.341,0.5069,0.6728,0.788,0.8571,0.8756,0.9032,0.9124,0.9124,0.9263,0.9309,0.9401,0.9493,0.9539,0.977,0.9954,1.0,1.0,1.0
cora_gcn_rf,0.1705,0.3456,0.5115,0.6774,0.7834,0.8525,0.9032,0.9124,0.9217,0.9309,0.9309,0.9447,0.9539,0.9631,0.9724,0.977,0.9816,0.9908,0.9908,1.0
cora_gcn_lr,0.1336,0.3041,0.4793,0.6406,0.7788,0.8387,0.8479,0.8618,0.871,0.9171,0.9263,0.9355,0.9447,0.9493,0.9539,0.9539,0.9631,0.9724,0.9862,1.0
cora_gcn_mutation,0.1843,0.3641,0.5346,0.6866,0.7972,0.8618,0.8848,0.894,0.9078,0.9263,0.9355,0.9447,0.9539,0.9585,0.9631,0.9724,0.977,0.9816,0.9862,1.0
cora_gcn_fusion,0.1659,0.3364,0.5115,0.6774,0.7788,0.8525,0.8986,0.9217,0.9263,0.9401,0.9447,0.9631,0.977,0.9908,0.9908,0.9908,0.9908,0.9908,0.9954,1.0
cora_gcn_margin,0.1382,0.2396,0.3594,0.4378,0.5438,0.6267,0.6866,0.7327,0.7926,0.8479,0.8894,0.9078,0.9355,0.9539,0.9677,0.9862,0.9908,0.9908,0.9954,1.0
cora_gcn_deepGini,0.1475,0.2673,0.3456,0.4562,0.5484,0.6267,0.6959,0.7696,0.8111,0.8341,0.8618,0.8894,0.9217,0.9493,0.9585,0.9724,0.9862,0.9908,0.9908,1.0
cora_gcn_leastConfidence,0.1382,0.2719,0.3871,0.4885,0.5668,0.6452,0.7143,0.7696,0.8157,0.8664,0.9032,0.9263,0.9309,0.9585,0.9816,0.9862,0.9954,0.9954,0.9954,1.0
cora_gcn_random,0.0415,0.0922,0.1244,0.1659,0.2304,0.2949,0.3318,0.3825,0.4332,0.47,0.5161,0.576,0.6175,0.682,0.7097,0.7558,0.8018,0.8802,0.9355,1.0
cora_gcn_fusion_weight,0.1659,0.3364,0.5115,0.6774,0.7788,0.8525,0.8986,0.9217,0.9263,0.9355,0.9447,0.9631,0.977,0.9816,0.9908,0.9908,0.9908,0.9908,0.9954,1.0
cora_gcn_fusion_stacking,0.1475,0.3088,0.4793,0.6221,0.7834,0.8249,0.8433,0.8525,0.8664,0.8802,0.8986,0.9217,0.9263,0.9401,0.9539,0.9677,0.9816,0.9816,0.9862,1.0
cora_gcn_fusion_voting,0.1521,0.3134,0.4885,0.6313,0.7834,0.8249,0.8295,0.8387,0.8618,0.8756,0.894,0.9217,0.9217,0.9309,0.9585,0.9631,0.9862,0.9862,0.9862,1.0
