cora_gcn_nodeembeddingattack_remove_xgb,0.1784,0.3615,0.5164,0.6854,0.7887,0.8404,0.8592,0.8732,0.8873,0.9108,0.9296,0.9296,0.9484,0.9624,0.9671,0.9765,0.9812,0.9859,0.9906,1.0
cora_gcn_nodeembeddingattack_remove_lgb,0.1831,0.3521,0.5211,0.6901,0.7887,0.8404,0.8592,0.8732,0.9061,0.9249,0.9296,0.9437,0.9577,0.9671,0.9718,0.9718,0.9859,0.9906,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_rf,0.1925,0.3521,0.5305,0.6948,0.7981,0.8545,0.8826,0.8873,0.9108,0.9155,0.9202,0.9249,0.9296,0.9437,0.9531,0.9671,0.9765,0.9812,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_lr,0.1643,0.3239,0.493,0.662,0.784,0.831,0.8732,0.8779,0.8967,0.9108,0.9296,0.9343,0.939,0.9484,0.9624,0.9718,0.9718,0.9906,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_mutation,0.1878,0.3568,0.5399,0.6901,0.7981,0.8592,0.8779,0.8873,0.892,0.9155,0.9202,0.9249,0.9296,0.9343,0.9531,0.9718,0.9765,0.9812,0.9906,1.0
cora_gcn_nodeembeddingattack_remove_fusion,0.1831,0.3521,0.5164,0.6854,0.7934,0.8498,0.8732,0.9014,0.9108,0.9155,0.9202,0.939,0.9437,0.9577,0.9624,0.9718,0.9812,0.9859,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_margin,0.1268,0.2394,0.338,0.4319,0.5305,0.6103,0.6995,0.7559,0.7934,0.8357,0.8732,0.9061,0.9437,0.9624,0.9718,0.9859,0.9906,0.9953,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_deepGini,0.1455,0.2582,0.3474,0.4507,0.554,0.615,0.6995,0.7559,0.7934,0.8498,0.8732,0.8826,0.9202,0.9437,0.9671,0.9718,0.9765,0.9812,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_leastConfidence,0.1362,0.2817,0.3756,0.4883,0.554,0.6385,0.723,0.7981,0.8263,0.8545,0.892,0.9249,0.939,0.9531,0.9718,0.9812,0.9953,0.9953,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_random,0.0423,0.0704,0.1315,0.1784,0.23,0.2676,0.3286,0.3897,0.4319,0.4695,0.507,0.5634,0.6432,0.7136,0.7418,0.784,0.8404,0.8967,0.9531,1.0
cora_gcn_nodeembeddingattack_remove_fusion_weight,0.1831,0.3521,0.5164,0.6854,0.7934,0.8498,0.8779,0.9014,0.9108,0.9155,0.9202,0.9437,0.9484,0.9577,0.9624,0.9718,0.9812,0.9859,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_fusion_stacking,0.169,0.3286,0.4742,0.6432,0.7981,0.8357,0.8404,0.8638,0.8779,0.8967,0.8967,0.9108,0.9249,0.939,0.9624,0.9718,0.9859,0.9953,0.9953,1.0
cora_gcn_nodeembeddingattack_remove_fusion_voting,0.1737,0.338,0.507,0.662,0.7981,0.8122,0.8357,0.8451,0.8592,0.8732,0.8779,0.892,0.9014,0.9249,0.9437,0.9624,0.9671,0.9812,0.9859,1.0
