cora_graphsage_randomattack_add_xgb,0.1552,0.2802,0.444,0.6034,0.7371,0.8233,0.8621,0.8879,0.9095,0.9181,0.9353,0.944,0.9483,0.9569,0.9569,0.9569,0.9698,0.9698,0.9871,1.0
cora_graphsage_randomattack_add_lgb,0.1724,0.3276,0.4828,0.6121,0.7371,0.8362,0.8664,0.8836,0.9052,0.9224,0.9353,0.9483,0.9483,0.9526,0.9612,0.9698,0.9784,0.9784,0.9871,1.0
cora_graphsage_randomattack_add_rf,0.1767,0.319,0.4784,0.625,0.7457,0.8448,0.8922,0.9181,0.9224,0.931,0.9483,0.9612,0.9655,0.9698,0.9741,0.9741,0.9871,0.9914,0.9957,1.0
cora_graphsage_randomattack_add_lr,0.1595,0.319,0.4828,0.6164,0.7414,0.819,0.8534,0.875,0.8966,0.8966,0.9095,0.9267,0.9353,0.9612,0.9828,0.9871,0.9871,0.9871,0.9957,1.0
cora_graphsage_randomattack_add_mutation,0.1724,0.3362,0.4871,0.6379,0.7328,0.7759,0.7974,0.8276,0.8534,0.8664,0.8922,0.9052,0.9138,0.944,0.9612,0.9655,0.9784,0.9828,0.9871,1.0
cora_graphsage_randomattack_add_fusion,0.1595,0.319,0.4784,0.625,0.7371,0.8448,0.875,0.9009,0.9224,0.931,0.9353,0.944,0.9526,0.9655,0.9784,0.9871,0.9914,0.9914,0.9914,1.0
cora_graphsage_randomattack_add_margin,0.0991,0.2112,0.2888,0.3879,0.4828,0.569,0.6207,0.6897,0.75,0.8017,0.8319,0.8491,0.8922,0.9397,0.9655,0.9698,0.9828,0.9914,1.0,1.0
cora_graphsage_randomattack_add_deepGini,0.1207,0.2112,0.3233,0.4052,0.4784,0.5603,0.6207,0.681,0.7414,0.7931,0.8233,0.8405,0.8707,0.8966,0.9267,0.9483,0.9698,0.9784,1.0,1.0
cora_graphsage_randomattack_add_leastConfidence,0.0991,0.2026,0.3147,0.3879,0.4828,0.6164,0.681,0.7241,0.7802,0.8233,0.8793,0.9052,0.9224,0.9483,0.9569,0.9784,0.9828,0.9914,1.0,1.0
cora_graphsage_randomattack_add_random,0.0431,0.0905,0.125,0.1681,0.2112,0.2586,0.3147,0.3578,0.4267,0.4957,0.5603,0.5991,0.6466,0.681,0.7414,0.7802,0.8405,0.9095,0.9612,1.0
cora_graphsage_randomattack_add_fusion_weight,0.1595,0.319,0.4784,0.625,0.7371,0.8448,0.875,0.9009,0.9224,0.931,0.9353,0.944,0.9526,0.9655,0.9784,0.9871,0.9914,0.9914,0.9914,1.0
cora_graphsage_randomattack_add_fusion_stacking,0.1552,0.3017,0.4569,0.6034,0.7414,0.8103,0.8233,0.8362,0.8621,0.8836,0.9052,0.9095,0.9095,0.9267,0.944,0.9526,0.9698,0.9741,0.9784,1.0
cora_graphsage_randomattack_add_fusion_voting,0.1422,0.2931,0.4397,0.5905,0.7371,0.7888,0.806,0.8103,0.8362,0.8621,0.8879,0.8922,0.8922,0.9138,0.931,0.944,0.9612,0.9698,0.9741,1.0
