lastfm_gcn_xgb,0.1802,0.3653,0.5455,0.724,0.8364,0.876,0.8942,0.9058,0.9174,0.9306,0.9421,0.9455,0.957,0.9669,0.9769,0.9835,0.9901,0.9934,0.9967,1.0
lastfm_gcn_lgb,0.1851,0.3752,0.5488,0.7289,0.8479,0.8727,0.8926,0.9091,0.9223,0.9306,0.9455,0.957,0.9636,0.9702,0.9769,0.9802,0.9851,0.9934,1.0,1.0
lastfm_gcn_rf,0.1851,0.3719,0.5554,0.7273,0.8496,0.8876,0.9025,0.924,0.9372,0.9471,0.9521,0.9603,0.9636,0.9736,0.9769,0.9818,0.9917,0.9934,0.9967,1.0
lastfm_gcn_lr,0.1769,0.3636,0.5438,0.724,0.8314,0.8661,0.8826,0.8876,0.9025,0.914,0.9174,0.9207,0.9306,0.9421,0.9537,0.962,0.9719,0.9769,0.9901,1.0
lastfm_gcn_mutation,0.1851,0.3736,0.5421,0.6579,0.7256,0.7488,0.7769,0.7884,0.8083,0.8529,0.8826,0.8909,0.9058,0.9256,0.9421,0.9537,0.9669,0.9752,0.9884,1.0
lastfm_gcn_fusion,0.1868,0.3719,0.5504,0.7273,0.8512,0.886,0.9074,0.924,0.9339,0.9438,0.9537,0.9603,0.9636,0.9719,0.9802,0.9851,0.9901,0.9967,0.9967,1.0
lastfm_gcn_margin,0.119,0.2579,0.3752,0.5008,0.6017,0.6893,0.762,0.8116,0.8529,0.8777,0.9074,0.924,0.9355,0.9521,0.9702,0.9802,0.9835,0.9934,0.9983,1.0
lastfm_gcn_deepGini,0.1273,0.2165,0.3041,0.3934,0.4727,0.5471,0.6116,0.6711,0.7455,0.8033,0.8446,0.8843,0.9091,0.9322,0.9521,0.9603,0.9769,0.9868,0.9967,1.0
lastfm_gcn_leastConfidence,0.1289,0.2545,0.3636,0.4612,0.5554,0.6298,0.7091,0.7736,0.8198,0.8612,0.9091,0.9273,0.9421,0.9587,0.9719,0.9785,0.9851,0.9917,1.0,1.0
lastfm_gcn_random,0.0463,0.1157,0.1488,0.2,0.2479,0.2992,0.3322,0.3934,0.4446,0.5091,0.557,0.6165,0.6678,0.7124,0.757,0.8017,0.8545,0.9091,0.957,1.0
lastfm_gcn_fusion_weight,0.1868,0.3719,0.5504,0.7273,0.8512,0.886,0.9074,0.9256,0.9339,0.9438,0.9537,0.9603,0.9636,0.9719,0.9802,0.9851,0.9901,0.9967,0.9967,1.0
lastfm_gcn_fusion_stacking,0.1785,0.357,0.5372,0.7124,0.8529,0.8826,0.8975,0.9041,0.914,0.9223,0.9339,0.9421,0.9455,0.9455,0.9603,0.9736,0.9769,0.9884,0.9934,1.0
lastfm_gcn_fusion_voting,0.1802,0.3587,0.5355,0.7174,0.8512,0.8628,0.8711,0.8876,0.8926,0.9025,0.9157,0.9306,0.9355,0.9405,0.957,0.9686,0.9769,0.9868,0.995,1.0
