lastfm_tagcn_nodeembeddingattack_remove_xgb,0.1614,0.3243,0.4843,0.6371,0.7714,0.8529,0.8986,0.9157,0.9329,0.9457,0.9586,0.9686,0.9757,0.9786,0.9814,0.9886,0.9914,0.9986,1.0,1.0
lastfm_tagcn_nodeembeddingattack_remove_lgb,0.1614,0.3229,0.4829,0.6386,0.7729,0.8543,0.9014,0.9257,0.9429,0.9557,0.9643,0.9714,0.9786,0.9843,0.9886,0.9943,0.9971,0.9986,0.9986,1.0
lastfm_tagcn_nodeembeddingattack_remove_rf,0.1629,0.3271,0.4843,0.6371,0.78,0.86,0.9014,0.9171,0.9429,0.9543,0.9686,0.9729,0.98,0.9829,0.9914,0.9914,0.9929,0.9971,0.9971,1.0
lastfm_tagcn_nodeembeddingattack_remove_lr,0.1586,0.3229,0.4829,0.6371,0.7514,0.8286,0.8757,0.9086,0.9229,0.9371,0.9471,0.9614,0.97,0.9743,0.9757,0.98,0.9829,0.9886,0.9943,1.0
lastfm_tagcn_nodeembeddingattack_remove_mutation,0.1543,0.29,0.3929,0.4629,0.5614,0.6471,0.69,0.7271,0.78,0.81,0.8171,0.83,0.8857,0.9086,0.9186,0.9429,0.9614,0.9686,0.9843,1.0
lastfm_tagcn_nodeembeddingattack_remove_fusion,0.1629,0.3257,0.4843,0.6371,0.7729,0.8543,0.9043,0.9286,0.9457,0.96,0.9629,0.9714,0.9814,0.9871,0.9929,0.9943,0.9957,0.9971,1.0,1.0
lastfm_tagcn_nodeembeddingattack_remove_margin,0.1357,0.2557,0.3643,0.47,0.5957,0.7014,0.78,0.83,0.8757,0.9043,0.93,0.9443,0.9557,0.9671,0.9757,0.9857,0.9929,0.9986,1.0,1.0
lastfm_tagcn_nodeembeddingattack_remove_deepGini,0.1486,0.2757,0.3914,0.4729,0.5486,0.6157,0.6843,0.7386,0.7914,0.8329,0.87,0.9043,0.9314,0.9571,0.97,0.9843,0.99,0.9986,1.0,1.0
lastfm_tagcn_nodeembeddingattack_remove_leastConfidence,0.1514,0.2686,0.3686,0.4857,0.6029,0.7186,0.8014,0.8457,0.8786,0.9114,0.9357,0.94,0.96,0.9686,0.9786,0.9871,0.9957,0.9986,1.0,1.0
lastfm_tagcn_nodeembeddingattack_remove_random,0.0471,0.0986,0.1471,0.2086,0.2529,0.3114,0.3614,0.4143,0.46,0.5157,0.5629,0.6243,0.6586,0.7057,0.7471,0.81,0.8629,0.9014,0.9414,1.0
lastfm_tagcn_nodeembeddingattack_remove_fusion_weight,0.1629,0.3257,0.4843,0.6371,0.7729,0.8543,0.9043,0.93,0.9457,0.96,0.9629,0.9714,0.9814,0.9871,0.9929,0.9943,0.9957,0.9971,1.0,1.0
lastfm_tagcn_nodeembeddingattack_remove_fusion_stacking,0.1586,0.31,0.4671,0.6186,0.77,0.8557,0.87,0.88,0.8929,0.9,0.9071,0.92,0.9257,0.9314,0.9514,0.9629,0.97,0.9829,0.9943,1.0
lastfm_tagcn_nodeembeddingattack_remove_fusion_voting,0.1571,0.3129,0.4714,0.6243,0.7743,0.8543,0.87,0.8786,0.8929,0.9014,0.9086,0.9214,0.9271,0.9314,0.9471,0.9614,0.9714,0.9843,0.9943,1.0
