lastfm_tagcn_randomattack_remove_xgb,0.1633,0.3266,0.4857,0.6404,0.7722,0.8539,0.8926,0.9212,0.9427,0.9527,0.957,0.9656,0.9742,0.9814,0.9857,0.9871,0.9914,0.9971,0.9986,1.0
lastfm_tagcn_randomattack_remove_lgb,0.1633,0.3266,0.4857,0.6375,0.7679,0.851,0.8926,0.9255,0.9499,0.9585,0.9656,0.9728,0.9814,0.9871,0.9885,0.99,0.9914,0.9943,1.0,1.0
lastfm_tagcn_randomattack_remove_rf,0.1633,0.3281,0.49,0.639,0.765,0.8653,0.9011,0.9255,0.9556,0.9613,0.9699,0.9742,0.9785,0.9842,0.9871,0.99,0.9914,0.9943,0.9957,1.0
lastfm_tagcn_randomattack_remove_lr,0.159,0.3209,0.4771,0.6304,0.7607,0.8266,0.8739,0.9169,0.9298,0.9398,0.9527,0.9613,0.9656,0.9728,0.9785,0.9799,0.9857,0.99,0.9943,1.0
lastfm_tagcn_randomattack_remove_mutation,0.149,0.2865,0.394,0.4628,0.563,0.649,0.6963,0.7421,0.7779,0.808,0.8152,0.8223,0.8768,0.9011,0.9169,0.9384,0.9585,0.9699,0.9842,1.0
lastfm_tagcn_randomattack_remove_fusion,0.1633,0.3281,0.4914,0.639,0.7679,0.8539,0.8983,0.9312,0.9527,0.9628,0.9713,0.9713,0.9756,0.9857,0.9914,0.9928,0.9928,0.9943,0.9957,1.0
lastfm_tagcn_randomattack_remove_margin,0.1261,0.2493,0.361,0.4756,0.586,0.6977,0.7808,0.8295,0.8797,0.914,0.9298,0.9413,0.9556,0.9713,0.9828,0.9885,0.99,0.9986,1.0,1.0
lastfm_tagcn_randomattack_remove_deepGini,0.149,0.2765,0.3811,0.4785,0.563,0.6304,0.6877,0.7507,0.7966,0.8395,0.8739,0.9054,0.9398,0.9556,0.9728,0.9857,0.9885,0.9957,1.0,1.0
lastfm_tagcn_randomattack_remove_leastConfidence,0.1533,0.265,0.3696,0.4771,0.5874,0.7063,0.7966,0.8553,0.8911,0.9226,0.9413,0.9499,0.9556,0.9713,0.9828,0.9885,0.9928,0.9986,1.0,1.0
lastfm_tagcn_randomattack_remove_random,0.0501,0.0989,0.1519,0.2077,0.245,0.2966,0.3367,0.3825,0.4341,0.4828,0.5358,0.5888,0.6418,0.6805,0.7307,0.788,0.8467,0.8997,0.9441,1.0
lastfm_tagcn_randomattack_remove_fusion_weight,0.1633,0.3281,0.4914,0.639,0.7679,0.8539,0.8983,0.9312,0.9527,0.9628,0.9713,0.9713,0.9756,0.9857,0.9914,0.9928,0.9928,0.9943,0.9957,1.0
lastfm_tagcn_randomattack_remove_fusion_stacking,0.1562,0.3095,0.4656,0.6117,0.7593,0.8496,0.8811,0.8883,0.904,0.9126,0.9198,0.9298,0.9355,0.9413,0.957,0.9699,0.9756,0.9857,0.9943,1.0
lastfm_tagcn_randomattack_remove_fusion_voting,0.1533,0.3109,0.4656,0.6232,0.7708,0.8453,0.8725,0.8782,0.8926,0.8997,0.9155,0.9212,0.9255,0.9355,0.9484,0.9628,0.9685,0.9828,0.9943,1.0
