pubmed_gat_xgb,0.1954,0.3894,0.5514,0.6619,0.7168,0.7568,0.786,0.8088,0.8252,0.8409,0.8616,0.8859,0.9051,0.9215,0.933,0.9437,0.9629,0.9743,0.9872,1.0
pubmed_gat_lgb,0.2054,0.3951,0.5585,0.6698,0.7225,0.7632,0.7996,0.8245,0.8509,0.8673,0.888,0.9066,0.9251,0.9401,0.9565,0.9708,0.9793,0.9879,0.9957,1.0
pubmed_gat_rf,0.2004,0.3873,0.5578,0.6748,0.7347,0.7817,0.8117,0.8274,0.8459,0.8638,0.883,0.8987,0.9187,0.9394,0.9565,0.9693,0.9772,0.9864,0.9929,1.0
pubmed_gat_lr,0.1797,0.3623,0.5271,0.6505,0.7033,0.7354,0.7739,0.7939,0.811,0.8367,0.8495,0.8702,0.8837,0.8966,0.9158,0.9344,0.9415,0.9544,0.9686,1.0
pubmed_gat_mutation,0.1897,0.3645,0.5114,0.6205,0.7026,0.7368,0.7496,0.7817,0.806,0.8252,0.8481,0.8716,0.8845,0.898,0.908,0.9272,0.9422,0.9601,0.98,1.0
pubmed_gat_fusion,0.2026,0.3923,0.5592,0.6705,0.7318,0.7725,0.8088,0.8331,0.8531,0.8752,0.8923,0.9108,0.9272,0.9465,0.9579,0.975,0.985,0.9914,0.9979,1.0
pubmed_gat_margin,0.1013,0.1947,0.2867,0.3702,0.4515,0.5228,0.587,0.6434,0.6954,0.7397,0.7732,0.8031,0.8324,0.8573,0.8816,0.9001,0.9201,0.9401,0.9679,1.0
pubmed_gat_deepGini,0.1155,0.2061,0.2882,0.3666,0.4173,0.4779,0.5342,0.5899,0.6441,0.6904,0.7397,0.7789,0.8203,0.8638,0.8916,0.9173,0.9486,0.9686,0.9872,1.0
pubmed_gat_leastConfidence,0.1091,0.2147,0.2974,0.3852,0.4608,0.525,0.5863,0.6398,0.6926,0.7532,0.796,0.8288,0.8631,0.8837,0.9051,0.9244,0.9408,0.9565,0.9736,1.0
pubmed_gat_random,0.0464,0.1013,0.1491,0.1947,0.2525,0.3046,0.3602,0.4073,0.4622,0.5057,0.5506,0.602,0.6498,0.7033,0.7475,0.7889,0.8559,0.9066,0.9522,1.0
pubmed_gat_fusion_weight,0.2026,0.3923,0.5585,0.6719,0.7318,0.7725,0.8088,0.8324,0.8524,0.8752,0.8923,0.9087,0.9237,0.9465,0.9579,0.975,0.985,0.9914,0.9979,1.0
pubmed_gat_fusion_stacking,0.1783,0.3602,0.5499,0.6719,0.7068,0.7247,0.7382,0.7632,0.7825,0.8039,0.8288,0.8474,0.8631,0.8773,0.8959,0.9173,0.9358,0.9551,0.9757,1.0
pubmed_gat_fusion_voting,0.1869,0.3709,0.5528,0.6726,0.7154,0.7332,0.7539,0.7703,0.7917,0.8088,0.8252,0.8452,0.8623,0.8809,0.8973,0.9208,0.9365,0.9522,0.975,1.0
