pubmed_gat_nodeembeddingattack_remove_xgb,0.1979,0.3832,0.5399,0.651,0.7112,0.7531,0.7853,0.807,0.8294,0.8503,0.8678,0.8867,0.9098,0.9273,0.9448,0.9573,0.9692,0.9825,0.9937,1.0
pubmed_gat_nodeembeddingattack_remove_lgb,0.1993,0.3811,0.5385,0.6524,0.7105,0.7524,0.7888,0.8161,0.8441,0.8664,0.8811,0.8965,0.9189,0.9378,0.9545,0.9685,0.9797,0.9888,0.9972,1.0
pubmed_gat_nodeembeddingattack_remove_rf,0.1909,0.3797,0.542,0.6573,0.7119,0.7587,0.7846,0.8049,0.8266,0.8497,0.8692,0.8881,0.9056,0.928,0.9427,0.9587,0.9713,0.9818,0.9888,1.0
pubmed_gat_nodeembeddingattack_remove_lr,0.1783,0.3566,0.5203,0.6343,0.6986,0.7441,0.779,0.7986,0.8196,0.8364,0.8566,0.8748,0.8937,0.9126,0.9273,0.9392,0.9517,0.9622,0.9727,1.0
pubmed_gat_nodeembeddingattack_remove_mutation,0.1874,0.358,0.5021,0.6063,0.686,0.7168,0.7322,0.7699,0.7944,0.8147,0.8364,0.8559,0.8713,0.8923,0.9042,0.9189,0.9399,0.9615,0.9797,1.0
pubmed_gat_nodeembeddingattack_remove_fusion,0.2007,0.3839,0.5406,0.6566,0.7224,0.7671,0.7972,0.8203,0.8399,0.858,0.8748,0.8916,0.9105,0.9329,0.9524,0.9692,0.9811,0.9902,0.9986,1.0
pubmed_gat_nodeembeddingattack_remove_margin,0.1084,0.1986,0.2867,0.3706,0.4462,0.5098,0.5762,0.6392,0.693,0.7378,0.7692,0.7972,0.8252,0.8503,0.8748,0.8993,0.9189,0.9385,0.9671,1.0
pubmed_gat_nodeembeddingattack_remove_deepGini,0.1112,0.2021,0.2846,0.3622,0.4182,0.4783,0.5357,0.5937,0.6427,0.6881,0.7371,0.7804,0.8266,0.8629,0.8958,0.9245,0.9448,0.9678,0.9874,1.0
pubmed_gat_nodeembeddingattack_remove_leastConfidence,0.1105,0.2105,0.2993,0.3769,0.4552,0.5259,0.5825,0.6364,0.6867,0.7448,0.7944,0.8252,0.858,0.8811,0.9,0.9182,0.935,0.9573,0.9734,1.0
pubmed_gat_nodeembeddingattack_remove_random,0.0483,0.0979,0.1497,0.2056,0.2531,0.3049,0.358,0.4035,0.4503,0.5014,0.551,0.607,0.6531,0.7,0.7503,0.8028,0.8573,0.9105,0.9538,1.0
pubmed_gat_nodeembeddingattack_remove_fusion_weight,0.2007,0.3839,0.5406,0.6566,0.7224,0.7678,0.7972,0.8203,0.8399,0.858,0.8734,0.8916,0.9105,0.9322,0.9524,0.9692,0.9811,0.9916,0.9986,1.0
pubmed_gat_nodeembeddingattack_remove_fusion_stacking,0.1832,0.3664,0.5378,0.6538,0.686,0.7007,0.7196,0.7399,0.7713,0.7888,0.8119,0.8357,0.8531,0.8741,0.8902,0.914,0.9336,0.9566,0.9776,1.0
pubmed_gat_nodeembeddingattack_remove_fusion_voting,0.1818,0.3678,0.5413,0.6538,0.6965,0.7252,0.7413,0.7608,0.7825,0.8035,0.8245,0.8427,0.8594,0.8755,0.8937,0.9175,0.935,0.949,0.9755,1.0
