pubmed_gat_randomattack_flip_xgb,0.1556,0.3072,0.4453,0.5761,0.6838,0.748,0.7937,0.823,0.8557,0.876,0.889,0.9042,0.92,0.9386,0.9538,0.969,0.9763,0.9842,0.9938,1.0
pubmed_gat_randomattack_flip_lgb,0.1578,0.3123,0.4577,0.5851,0.6917,0.7604,0.8027,0.8371,0.8647,0.8839,0.9002,0.916,0.9312,0.9464,0.9572,0.9746,0.9837,0.9893,0.9961,1.0
pubmed_gat_randomattack_flip_rf,0.1578,0.3072,0.4526,0.5817,0.6821,0.7542,0.8021,0.8348,0.8579,0.8766,0.8946,0.9076,0.9245,0.9397,0.9526,0.9679,0.9791,0.9853,0.9932,1.0
pubmed_gat_randomattack_flip_lr,0.1471,0.2931,0.4324,0.5631,0.6556,0.7165,0.77,0.7971,0.8219,0.8444,0.8602,0.8754,0.8901,0.9053,0.9205,0.9357,0.9453,0.956,0.9696,1.0
pubmed_gat_randomattack_flip_mutation,0.1516,0.2976,0.4278,0.5406,0.6392,0.7103,0.757,0.7785,0.8095,0.8337,0.8568,0.8737,0.8912,0.9042,0.9154,0.9324,0.9493,0.9656,0.9831,1.0
pubmed_gat_randomattack_flip_fusion,0.1595,0.3123,0.4521,0.5862,0.6877,0.7638,0.8078,0.8399,0.867,0.8833,0.9008,0.9143,0.9301,0.9464,0.9611,0.9741,0.9837,0.9927,0.9989,1.0
pubmed_gat_randomattack_flip_margin,0.0885,0.1793,0.2683,0.3405,0.4171,0.4837,0.549,0.6133,0.6708,0.7266,0.7694,0.8005,0.8315,0.8579,0.8856,0.9104,0.9295,0.9498,0.9707,1.0
pubmed_gat_randomattack_flip_deepGini,0.1032,0.195,0.2937,0.3664,0.4352,0.5039,0.5592,0.611,0.6635,0.7103,0.7531,0.7886,0.8315,0.8591,0.8923,0.9188,0.9476,0.9645,0.9887,1.0
pubmed_gat_randomattack_flip_leastConfidence,0.1026,0.1995,0.2852,0.3715,0.4566,0.5287,0.5868,0.6539,0.7041,0.7537,0.7937,0.8337,0.8608,0.889,0.9109,0.9312,0.9464,0.9628,0.9769,1.0
pubmed_gat_randomattack_flip_random,0.0485,0.1015,0.1539,0.2063,0.257,0.305,0.3563,0.4104,0.4583,0.5085,0.5592,0.6043,0.6533,0.7029,0.752,0.8067,0.8534,0.9047,0.9459,1.0
pubmed_gat_randomattack_flip_fusion_weight,0.1595,0.3123,0.4526,0.5851,0.6877,0.7638,0.8078,0.8399,0.867,0.8833,0.9008,0.9098,0.9262,0.9425,0.9611,0.9741,0.9837,0.9921,0.9989,1.0
pubmed_gat_randomattack_flip_fusion_stacking,0.1449,0.2858,0.434,0.575,0.6809,0.743,0.761,0.7773,0.7926,0.8269,0.8382,0.8675,0.8867,0.9014,0.9154,0.9284,0.9442,0.9594,0.9763,1.0
pubmed_gat_randomattack_flip_fusion_voting,0.1488,0.2875,0.4295,0.5761,0.69,0.7582,0.7756,0.7943,0.8089,0.8247,0.8472,0.8641,0.8777,0.8963,0.9098,0.925,0.9391,0.9583,0.9831,1.0
