pubmed_gcn_xgb,0.1374,0.2733,0.4083,0.5323,0.6535,0.7567,0.8279,0.8612,0.8845,0.904,0.923,0.932,0.9396,0.9491,0.9577,0.9705,0.9796,0.9886,0.9957,1.0
pubmed_gcn_lgb,0.1397,0.2795,0.4087,0.5366,0.6602,0.7624,0.8289,0.8736,0.8973,0.9125,0.9287,0.9401,0.9491,0.9567,0.9644,0.9753,0.9838,0.9891,0.9962,1.0
pubmed_gcn_rf,0.1393,0.278,0.4073,0.5366,0.6573,0.7605,0.8251,0.8617,0.8931,0.9111,0.9249,0.9344,0.9425,0.9515,0.9606,0.9691,0.9762,0.981,0.991,1.0
pubmed_gcn_lr,0.1336,0.2685,0.4021,0.5285,0.654,0.7543,0.8218,0.856,0.8736,0.8921,0.9064,0.913,0.9225,0.9382,0.9482,0.9587,0.9701,0.9791,0.9881,1.0
pubmed_gcn_mutation,0.1312,0.2662,0.4002,0.5285,0.6454,0.7319,0.8094,0.8569,0.8798,0.8997,0.9125,0.9263,0.933,0.9444,0.9515,0.961,0.9753,0.9843,0.9914,1.0
pubmed_gcn_fusion,0.1402,0.279,0.4073,0.5385,0.6621,0.7652,0.8317,0.8702,0.8931,0.9135,0.9249,0.9368,0.9449,0.9534,0.9644,0.9748,0.9862,0.9919,0.9952,1.0
pubmed_gcn_margin,0.0699,0.1426,0.2167,0.2828,0.3498,0.4206,0.4924,0.5485,0.6103,0.664,0.7106,0.7581,0.7966,0.8332,0.8612,0.8902,0.9144,0.942,0.9729,1.0
pubmed_gcn_deepGini,0.1402,0.2757,0.395,0.4976,0.5751,0.6288,0.6683,0.6987,0.73,0.7567,0.7856,0.8094,0.8351,0.8617,0.894,0.9183,0.9425,0.9648,0.9819,1.0
pubmed_gcn_leastConfidence,0.1388,0.2709,0.3931,0.4886,0.5646,0.6288,0.6868,0.7338,0.7757,0.8099,0.836,0.8531,0.874,0.8893,0.9083,0.9244,0.9392,0.9663,0.9857,1.0
pubmed_gcn_random,0.0485,0.0989,0.1407,0.1896,0.2414,0.2928,0.3389,0.385,0.4344,0.4824,0.5366,0.5898,0.6378,0.692,0.7405,0.7966,0.8451,0.895,0.943,1.0
pubmed_gcn_fusion_weight,0.1402,0.279,0.4073,0.5385,0.6621,0.7652,0.8317,0.8702,0.894,0.9135,0.9249,0.9368,0.9449,0.9534,0.9648,0.9748,0.9862,0.9914,0.9952,1.0
pubmed_gcn_fusion_stacking,0.1298,0.2581,0.3893,0.5171,0.6435,0.7533,0.8189,0.8455,0.8626,0.8693,0.8807,0.8916,0.9016,0.9206,0.9396,0.9468,0.9644,0.9739,0.9862,1.0
pubmed_gcn_fusion_voting,0.1302,0.2567,0.3855,0.5157,0.6416,0.7643,0.8303,0.8474,0.8598,0.8726,0.8845,0.8978,0.914,0.9254,0.9382,0.9453,0.9582,0.9739,0.9895,1.0
