pubmed_gcn_nodeembeddingattack_remove_xgb,0.135,0.2706,0.4047,0.533,0.6476,0.7513,0.8222,0.8521,0.8792,0.9001,0.9139,0.923,0.9425,0.9524,0.9582,0.9658,0.9762,0.9853,0.9924,1.0
pubmed_gcn_nodeembeddingattack_remove_lgb,0.1384,0.2753,0.407,0.5369,0.651,0.7565,0.8236,0.8607,0.8792,0.8992,0.922,0.9334,0.9448,0.9596,0.9662,0.9734,0.98,0.9853,0.9967,1.0
pubmed_gcn_nodeembeddingattack_remove_rf,0.1393,0.2739,0.408,0.5335,0.6543,0.7565,0.8184,0.855,0.8816,0.9025,0.9187,0.9315,0.9415,0.9539,0.9658,0.971,0.9772,0.9848,0.9938,1.0
pubmed_gcn_nodeembeddingattack_remove_lr,0.1336,0.2687,0.3994,0.5254,0.641,0.7427,0.8169,0.845,0.8659,0.8887,0.9016,0.912,0.9268,0.9372,0.9444,0.9563,0.9634,0.9734,0.9867,1.0
pubmed_gcn_nodeembeddingattack_remove_mutation,0.1327,0.2663,0.3985,0.5273,0.6405,0.729,0.8041,0.8483,0.8659,0.8835,0.8944,0.9054,0.922,0.9344,0.9472,0.9643,0.9777,0.9853,0.9914,1.0
pubmed_gcn_nodeembeddingattack_remove_fusion,0.1384,0.2758,0.408,0.5388,0.651,0.7594,0.8255,0.8583,0.8825,0.9035,0.9201,0.9339,0.9434,0.9553,0.97,0.9762,0.9819,0.9905,0.9957,1.0
pubmed_gcn_nodeembeddingattack_remove_margin,0.0713,0.1469,0.2164,0.2858,0.3566,0.4199,0.4922,0.554,0.6139,0.6624,0.7071,0.7494,0.7889,0.8193,0.8535,0.8811,0.9101,0.9415,0.9719,1.0
pubmed_gcn_nodeembeddingattack_remove_deepGini,0.1384,0.2715,0.388,0.4855,0.563,0.612,0.6481,0.6824,0.7095,0.7366,0.767,0.7955,0.8203,0.8455,0.8759,0.9092,0.9368,0.9615,0.98,1.0
pubmed_gcn_nodeembeddingattack_remove_leastConfidence,0.1374,0.2687,0.3837,0.4769,0.5473,0.6101,0.6667,0.7161,0.7485,0.7732,0.7984,0.8279,0.8516,0.873,0.893,0.9154,0.9349,0.9658,0.9843,1.0
pubmed_gcn_nodeembeddingattack_remove_random,0.0423,0.0865,0.1384,0.1964,0.2544,0.3039,0.3557,0.408,0.4565,0.5093,0.5554,0.6006,0.6429,0.6947,0.7485,0.8003,0.8497,0.9006,0.9501,1.0
pubmed_gcn_nodeembeddingattack_remove_fusion_weight,0.1384,0.2758,0.408,0.5388,0.6515,0.7594,0.8255,0.8583,0.8825,0.9035,0.9201,0.9339,0.9434,0.9567,0.9705,0.9757,0.9838,0.9905,0.9957,1.0
pubmed_gcn_nodeembeddingattack_remove_fusion_stacking,0.126,0.2568,0.3856,0.5145,0.6372,0.7518,0.8079,0.8355,0.8569,0.8669,0.8811,0.894,0.902,0.9177,0.9382,0.9505,0.9639,0.9767,0.9876,1.0
pubmed_gcn_nodeembeddingattack_remove_fusion_voting,0.127,0.2558,0.3837,0.5136,0.64,0.7589,0.8241,0.845,0.8583,0.8707,0.8835,0.8968,0.9101,0.9239,0.9377,0.9458,0.9582,0.9719,0.9881,1.0
