pubmed_gcn_randomattack_remove_xgb,0.1359,0.2728,0.4039,0.5265,0.6447,0.742,0.8178,0.8522,0.8803,0.9032,0.9123,0.9237,0.9351,0.9466,0.9547,0.9676,0.9752,0.9857,0.9928,1.0
pubmed_gcn_randomattack_remove_lgb,0.1397,0.2775,0.4058,0.5327,0.6519,0.7539,0.8212,0.8588,0.8832,0.9008,0.9185,0.9299,0.9404,0.9566,0.9647,0.9733,0.9809,0.9886,0.9938,1.0
pubmed_gcn_randomattack_remove_rf,0.1369,0.2723,0.402,0.5289,0.6471,0.7449,0.8116,0.8522,0.8765,0.9022,0.9161,0.9294,0.9409,0.9518,0.9619,0.9666,0.9757,0.9838,0.9919,1.0
pubmed_gcn_randomattack_remove_lr,0.1326,0.2666,0.3987,0.5227,0.6371,0.7401,0.8126,0.846,0.865,0.886,0.9056,0.9185,0.9299,0.9394,0.9495,0.958,0.9647,0.9771,0.9857,1.0
pubmed_gcn_randomattack_remove_mutation,0.1335,0.2656,0.3991,0.5188,0.6271,0.6867,0.7868,0.8245,0.8631,0.8798,0.8927,0.9041,0.9118,0.928,0.9433,0.9623,0.9752,0.9843,0.9914,1.0
pubmed_gcn_randomattack_remove_fusion,0.1392,0.2775,0.4077,0.5303,0.6514,0.7473,0.8221,0.8579,0.8832,0.9013,0.917,0.9328,0.9433,0.9542,0.97,0.9781,0.9852,0.9914,0.9957,1.0
pubmed_gcn_randomattack_remove_margin,0.0696,0.1459,0.2132,0.2856,0.351,0.4211,0.4917,0.556,0.6128,0.66,0.7086,0.7501,0.7907,0.8293,0.8593,0.8846,0.9137,0.9418,0.9719,1.0
pubmed_gcn_randomattack_remove_deepGini,0.1383,0.267,0.3882,0.4835,0.5618,0.6109,0.6452,0.6748,0.7048,0.733,0.7682,0.7964,0.8255,0.8526,0.8822,0.9118,0.9371,0.9614,0.9809,1.0
pubmed_gcn_randomattack_remove_leastConfidence,0.1345,0.2651,0.3805,0.4707,0.5398,0.6028,0.659,0.7058,0.7449,0.7697,0.8016,0.8278,0.8517,0.876,0.8989,0.9208,0.9399,0.9647,0.9862,1.0
pubmed_gcn_randomattack_remove_random,0.052,0.1054,0.1521,0.2012,0.2532,0.3,0.3462,0.392,0.4497,0.4974,0.5451,0.5956,0.6447,0.6953,0.7492,0.8002,0.8488,0.9013,0.9547,1.0
pubmed_gcn_randomattack_remove_fusion_weight,0.1392,0.2775,0.4077,0.5303,0.6514,0.7473,0.8221,0.8579,0.8832,0.9013,0.917,0.9318,0.9442,0.9542,0.9695,0.9785,0.9847,0.9914,0.9957,1.0
pubmed_gcn_randomattack_remove_fusion_stacking,0.1307,0.2623,0.3887,0.5155,0.6347,0.7439,0.8102,0.8336,0.8546,0.8679,0.8794,0.8951,0.9046,0.9151,0.9394,0.9518,0.9657,0.9766,0.9852,1.0
pubmed_gcn_randomattack_remove_fusion_voting,0.1249,0.2518,0.3777,0.5069,0.628,0.7496,0.8178,0.8383,0.855,0.8674,0.8813,0.8951,0.9113,0.9242,0.9385,0.9452,0.9585,0.9719,0.9881,1.0
