pubmed_graphsage_xgb,0.2098,0.4058,0.5805,0.7063,0.7727,0.8131,0.8413,0.8566,0.8818,0.8993,0.9115,0.9283,0.9367,0.9451,0.9535,0.9626,0.971,0.984,0.9931,0.9992
pubmed_graphsage_lgb,0.2113,0.4088,0.5843,0.7109,0.7765,0.8169,0.8505,0.8749,0.8917,0.9077,0.9237,0.9405,0.9527,0.958,0.968,0.9779,0.984,0.9908,0.9977,0.9992
pubmed_graphsage_rf,0.2174,0.4058,0.5904,0.7117,0.7826,0.8223,0.8497,0.8764,0.8886,0.9069,0.9245,0.9359,0.9451,0.9535,0.9649,0.9718,0.9786,0.987,0.9954,0.9992
pubmed_graphsage_lr,0.2029,0.4005,0.5774,0.701,0.759,0.8002,0.8215,0.8406,0.8574,0.8802,0.894,0.9016,0.9146,0.9252,0.9382,0.9527,0.9596,0.9725,0.9802,0.9992
pubmed_graphsage_mutation,0.2121,0.3913,0.5446,0.6384,0.6819,0.7079,0.7231,0.7689,0.7994,0.8268,0.8421,0.8619,0.8863,0.9008,0.913,0.9237,0.9458,0.9619,0.9786,0.9992
pubmed_graphsage_fusion,0.2174,0.415,0.5889,0.7094,0.7826,0.8291,0.8543,0.8787,0.8947,0.913,0.926,0.9436,0.9519,0.9657,0.9703,0.9756,0.9817,0.987,0.9969,0.9992
pubmed_graphsage_margin,0.106,0.2166,0.3219,0.4073,0.492,0.5606,0.6148,0.6583,0.7002,0.7376,0.7712,0.8009,0.8261,0.8452,0.8619,0.8917,0.9306,0.9535,0.9718,0.9992
pubmed_graphsage_deepGini,0.1083,0.1976,0.2708,0.3455,0.3982,0.4394,0.4828,0.537,0.5896,0.6362,0.6827,0.7246,0.7681,0.8085,0.8513,0.8978,0.9474,0.9664,0.984,0.9992
pubmed_graphsage_leastConfidence,0.1091,0.2136,0.2998,0.3791,0.4523,0.5324,0.598,0.6552,0.7056,0.7475,0.7818,0.8116,0.8337,0.8604,0.878,0.9085,0.9375,0.9649,0.9764,0.9992
pubmed_graphsage_random,0.0549,0.0923,0.1487,0.196,0.2441,0.2982,0.3478,0.3951,0.4424,0.4905,0.5446,0.5881,0.6346,0.6857,0.7323,0.7796,0.8352,0.8947,0.9443,0.9992
pubmed_graphsage_fusion_weight,0.2174,0.4142,0.5889,0.7101,0.7826,0.8291,0.8543,0.8787,0.894,0.913,0.926,0.9436,0.9519,0.9657,0.9703,0.9756,0.9817,0.987,0.9969,0.9992
pubmed_graphsage_fusion_stacking,0.1838,0.3745,0.5652,0.704,0.7704,0.7872,0.8146,0.8375,0.8619,0.8787,0.8947,0.9085,0.913,0.9283,0.9397,0.9497,0.9634,0.9741,0.9908,0.9992
pubmed_graphsage_fusion_voting,0.1937,0.3829,0.5767,0.7063,0.7391,0.7529,0.775,0.7887,0.804,0.8207,0.8421,0.8596,0.8741,0.8902,0.9085,0.9245,0.9397,0.955,0.9771,0.9992
