pubmed_graphsage_dice_xgb,0.1755,0.3447,0.4991,0.636,0.7362,0.7965,0.837,0.86,0.8755,0.8955,0.9116,0.921,0.9347,0.9496,0.9571,0.9652,0.9764,0.9832,0.9932,0.9994
pubmed_graphsage_dice_lgb,0.1798,0.3466,0.5022,0.6391,0.7399,0.8046,0.8432,0.8724,0.8992,0.9116,0.9278,0.9396,0.9521,0.962,0.9676,0.9776,0.9838,0.9913,0.9944,0.9994
pubmed_graphsage_dice_rf,0.1742,0.3391,0.4997,0.636,0.7374,0.8058,0.8413,0.8687,0.8911,0.9104,0.921,0.9334,0.9465,0.9571,0.9664,0.9764,0.9844,0.9876,0.9907,0.9994
pubmed_graphsage_dice_lr,0.1717,0.3342,0.4823,0.6217,0.7262,0.7828,0.8208,0.8507,0.8712,0.8849,0.8986,0.9172,0.9291,0.9403,0.9521,0.9608,0.967,0.9751,0.9863,0.9994
pubmed_graphsage_dice_mutation,0.1705,0.3317,0.4717,0.5849,0.6521,0.6876,0.7194,0.7598,0.8002,0.8301,0.8531,0.865,0.8861,0.906,0.9235,0.9353,0.9477,0.9658,0.9832,0.9994
pubmed_graphsage_dice_fusion,0.1798,0.3454,0.5047,0.6329,0.7418,0.8102,0.8494,0.8762,0.8998,0.911,0.9291,0.9409,0.9533,0.9614,0.9695,0.9782,0.9844,0.9919,0.9956,0.9994
pubmed_graphsage_dice_margin,0.0915,0.1892,0.2831,0.3721,0.453,0.5246,0.5912,0.6478,0.6951,0.7349,0.7722,0.7984,0.8289,0.8575,0.8737,0.8986,0.9322,0.9583,0.9764,0.9994
pubmed_graphsage_dice_deepGini,0.1058,0.1935,0.2732,0.3429,0.4063,0.463,0.504,0.552,0.6055,0.6497,0.6982,0.7436,0.7834,0.8245,0.8631,0.8986,0.9409,0.972,0.9844,0.9994
pubmed_graphsage_dice_leastConfidence,0.1064,0.1985,0.2912,0.3703,0.4418,0.5072,0.5706,0.6347,0.6901,0.7337,0.781,0.8164,0.8401,0.8662,0.8874,0.9073,0.9428,0.967,0.9807,0.9994
pubmed_graphsage_dice_random,0.0591,0.1126,0.1643,0.2172,0.2738,0.3192,0.3703,0.4213,0.4717,0.5246,0.5657,0.5986,0.6528,0.7044,0.7492,0.8046,0.8519,0.8961,0.9421,0.9994
pubmed_graphsage_dice_fusion_weight,0.1798,0.3454,0.5047,0.6329,0.7418,0.8102,0.85,0.8762,0.8998,0.9135,0.9291,0.9409,0.9533,0.9614,0.9695,0.9782,0.9844,0.9919,0.9956,0.9994
pubmed_graphsage_dice_fusion_stacking,0.1512,0.3124,0.4736,0.6297,0.7374,0.7884,0.8146,0.8326,0.8556,0.8743,0.8874,0.9023,0.9179,0.9303,0.9409,0.9533,0.9683,0.9807,0.9919,0.9994
pubmed_graphsage_dice_fusion_voting,0.1531,0.3149,0.4698,0.6235,0.7393,0.7797,0.7946,0.8108,0.8289,0.8426,0.8581,0.8724,0.8874,0.9042,0.9203,0.9347,0.9452,0.9639,0.982,0.9994
