pubmed_graphsage_nodeembeddingattack_remove_xgb,0.2126,0.4055,0.5831,0.7084,0.7707,0.8033,0.8314,0.8512,0.8679,0.8869,0.9089,0.9165,0.9301,0.9385,0.9499,0.9567,0.9674,0.9772,0.9879,0.9992
pubmed_graphsage_nodeembeddingattack_remove_lgb,0.2156,0.4115,0.5847,0.7099,0.7752,0.8132,0.8474,0.8702,0.8846,0.9051,0.9233,0.9438,0.9506,0.962,0.9719,0.9818,0.9863,0.9947,0.9992,0.9992
pubmed_graphsage_nodeembeddingattack_remove_rf,0.2164,0.4123,0.5885,0.7099,0.7745,0.8178,0.8497,0.8785,0.8929,0.9104,0.9263,0.9355,0.9438,0.9582,0.9719,0.9772,0.9848,0.9879,0.9947,0.9992
pubmed_graphsage_nodeembeddingattack_remove_lr,0.1989,0.3986,0.5771,0.6993,0.7578,0.7957,0.8223,0.8459,0.8656,0.8823,0.899,0.9119,0.9241,0.9362,0.9499,0.956,0.9681,0.9749,0.9841,0.9992
pubmed_graphsage_nodeembeddingattack_remove_mutation,0.2118,0.391,0.5482,0.6401,0.6811,0.7084,0.7259,0.7684,0.8018,0.8261,0.8413,0.8618,0.8869,0.9028,0.9165,0.9263,0.9461,0.962,0.981,0.9992
pubmed_graphsage_nodeembeddingattack_remove_fusion,0.2156,0.4115,0.5862,0.7099,0.7783,0.8223,0.8565,0.8785,0.8967,0.9119,0.9294,0.9446,0.9567,0.9651,0.9711,0.9765,0.9863,0.9939,0.9985,0.9992
pubmed_graphsage_nodeembeddingattack_remove_margin,0.1063,0.2141,0.3189,0.4055,0.4935,0.5596,0.6143,0.6583,0.697,0.738,0.7715,0.8011,0.8254,0.8436,0.8626,0.8922,0.9294,0.9537,0.9719,0.9992
pubmed_graphsage_nodeembeddingattack_remove_deepGini,0.1071,0.2012,0.2749,0.347,0.4009,0.4396,0.4852,0.5353,0.593,0.6386,0.6856,0.7259,0.7684,0.8102,0.8519,0.8998,0.9476,0.9666,0.9841,0.9992
pubmed_graphsage_nodeembeddingattack_remove_leastConfidence,0.1109,0.2164,0.2999,0.3804,0.4518,0.5353,0.6006,0.656,0.7092,0.7494,0.7828,0.8079,0.8299,0.8603,0.8785,0.9058,0.9377,0.9651,0.9765,0.9992
pubmed_graphsage_nodeembeddingattack_remove_random,0.0448,0.0964,0.142,0.1921,0.2369,0.2885,0.3386,0.3888,0.429,0.473,0.5239,0.5778,0.6317,0.6841,0.7365,0.798,0.8535,0.9043,0.9544,0.9992
pubmed_graphsage_nodeembeddingattack_remove_fusion_weight,0.2156,0.4115,0.5869,0.7099,0.7783,0.8216,0.8565,0.8785,0.8929,0.9119,0.9294,0.9446,0.9567,0.9651,0.9711,0.9765,0.9863,0.9939,0.9985,0.9992
pubmed_graphsage_nodeembeddingattack_remove_fusion_stacking,0.1875,0.3812,0.5672,0.7016,0.7555,0.7722,0.8094,0.8398,0.8573,0.8732,0.8884,0.9028,0.9104,0.9226,0.9347,0.9446,0.9598,0.9704,0.9863,0.9992
pubmed_graphsage_nodeembeddingattack_remove_fusion_voting,0.1898,0.3789,0.5718,0.7077,0.7358,0.7555,0.773,0.7897,0.8102,0.8261,0.8443,0.861,0.8747,0.8899,0.9104,0.9248,0.9408,0.9537,0.978,0.9992
