pubmed_tagcn_randomattack_remove_xgb,0.21,0.4087,0.57,0.6636,0.7222,0.7679,0.8044,0.8371,0.863,0.8912,0.9072,0.9338,0.9482,0.9604,0.9711,0.9787,0.9863,0.9909,0.9977,1.0
pubmed_tagcn_randomattack_remove_lgb,0.2116,0.4079,0.5715,0.6682,0.7253,0.7785,0.8189,0.8615,0.8912,0.9148,0.9353,0.9467,0.9597,0.9703,0.9779,0.9817,0.9893,0.9962,0.9985,1.0
pubmed_tagcn_randomattack_remove_rf,0.2131,0.4117,0.5708,0.6712,0.7352,0.7877,0.828,0.8592,0.882,0.9033,0.9209,0.9384,0.9498,0.9597,0.9726,0.9756,0.981,0.9893,0.9977,1.0
pubmed_tagcn_randomattack_remove_lr,0.2047,0.3942,0.5548,0.6583,0.7192,0.7686,0.796,0.8272,0.8531,0.8782,0.898,0.9193,0.9315,0.9482,0.9597,0.9696,0.9779,0.9893,0.9962,1.0
pubmed_tagcn_randomattack_remove_mutation,0.1918,0.3645,0.4673,0.5388,0.5807,0.6126,0.672,0.7298,0.7702,0.8006,0.8311,0.8592,0.8805,0.8995,0.9125,0.9247,0.9368,0.9513,0.9665,1.0
pubmed_tagcn_randomattack_remove_fusion,0.2139,0.4117,0.5731,0.675,0.7428,0.7877,0.8288,0.8638,0.8896,0.9178,0.933,0.9505,0.9589,0.9711,0.9756,0.9817,0.9855,0.9939,0.9977,1.0
pubmed_tagcn_randomattack_remove_margin,0.1332,0.2321,0.3113,0.3904,0.481,0.5533,0.6164,0.6728,0.7154,0.7489,0.7846,0.8143,0.8318,0.8554,0.876,0.8988,0.9193,0.9452,0.9756,1.0
pubmed_tagcn_randomattack_remove_deepGini,0.1514,0.2466,0.3105,0.3706,0.4285,0.4863,0.5411,0.5875,0.6218,0.6674,0.7055,0.7481,0.7808,0.8204,0.8569,0.8896,0.9193,0.9498,0.981,1.0
pubmed_tagcn_randomattack_remove_leastConfidence,0.1499,0.2397,0.3158,0.3889,0.4635,0.5358,0.6035,0.656,0.7017,0.7428,0.7785,0.812,0.8364,0.8653,0.8843,0.9033,0.9254,0.9513,0.9787,1.0
pubmed_tagcn_randomattack_remove_random,0.0472,0.105,0.1492,0.1948,0.2466,0.2922,0.3486,0.398,0.4406,0.4833,0.5342,0.5913,0.6431,0.6941,0.7451,0.7915,0.8478,0.9026,0.9498,1.0
pubmed_tagcn_randomattack_remove_fusion_weight,0.2139,0.4117,0.5731,0.675,0.7428,0.7877,0.8288,0.8638,0.8896,0.9178,0.933,0.9505,0.9597,0.9711,0.9756,0.9817,0.9855,0.9939,0.9977,1.0
pubmed_tagcn_randomattack_remove_fusion_stacking,0.2002,0.3813,0.5708,0.6613,0.7275,0.7732,0.8044,0.8227,0.8417,0.8562,0.8691,0.8843,0.8965,0.914,0.9262,0.9414,0.9551,0.9703,0.9863,1.0
pubmed_tagcn_randomattack_remove_fusion_voting,0.1903,0.3828,0.5677,0.6705,0.6986,0.7222,0.7412,0.761,0.7785,0.7983,0.8143,0.8326,0.8501,0.8714,0.8904,0.9079,0.9315,0.9475,0.9734,1.0
